Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1884:6:16:0 0.0278864 0.217726 -0.122706 -0.0196238
1884:7:16:0 0.255911 0.0777376 -0.496184 0.465134
1884:8:16:0 0.195256 0.201388 -0.222309 0.205717
1884:9:16:0 0.14279 0.223828 -0.164332 0.113042
1884:10:16:0 0.0498103 0.273315 -0.222973 0.0246391
1884:11:16:0 -0.0141338 0.483221 -0.177813 -0.166838
1884:12:16:0 0.0633403 0.636199 -0.206185 -0.151667
1885:1:16:0 -0.0306124 0.351047 -0.121137 -0.145568
1885:2:16:0 0.104899 0.182552 -0.192389 0.109817
1885:3:16:0 0.221149 -0.126246 -0.113514 0.341029
1885:4:16:0 0.107509 -0.0884285 -0.197848 0.250648
1885:5:16:0 0.560737 -0.270521 -0.356403 0.874199
1885:6:16:0 0.26529 -0.486001 -0.468736 0.742659
1885:7:16:0 0.15909 -0.403071 -0.556521 0.638885
1885:8:16:0 0.309296 -0.106807 -0.496448 0.610923
1885:9:16:0 0.392001 0.102115 -0.473378 0.577633
1885:10:16:0 0.551511 0.125379 -0.561328 0.769486
1885:11:16:0 0.507579 0.241903 -0.473274 0.623265
1885:12:16:0 0.495759 0.24833 -0.196797 0.469993
1886:1:16:0 0.314974 -0.608599 -0.0400459 0.639297
1886:2:16:0 0.203488 -0.753321 -0.0485532 0.604425
1886:3:16:0 0.375552 -0.710107 -0.0551146 0.758163
1886:4:16:0 0.103015 -0.538318 0.213421 0.265463
1886:5:16:0 -0.313441 -0.867385 0.0794156 0.0805436
1886:6:16:0 -0.407461 -1.06898 -0.0452133 0.149634
1886:7:16:0 -0.563958 -0.698357 -0.0767022 -0.176428
1886:8:16:0 -0.684507 -0.930953 0.329933 -0.383996
1886:9:16:0 -0.695594 -0.557246 0.259503 -0.546722
1886:10:16:0 -0.607573 -0.605702 -0.0640161 -0.272714
1886:11:16:0 -0.75077 -0.53064 0.0630066 -0.516954
1886:12:16:0 -0.996024 -0.768384 0.074491 -0.649078
1887:1:16:0 -0.507342 -0.703618 -0.120234 -0.0954159
1887:2:16:0 -0.341233 -0.728961 0.139243 -0.046374
1887:3:16:0 -0.617118 -0.820153 0.251507 -0.332795
1887:4:16:0 -0.744162 -0.650314 0.176671 -0.50734
1887:5:16:0 -0.717543 -0.48228 0.187715 -0.570261
1887:6:16:0 -0.320856 -0.13373 -0.206576 -0.150702
1887:7:16:0 -0.254738 0.0220102 -0.300248 -0.115618
1887:8:16:0 -0.297039 -0.343487 0.0373913 -0.143991
1887:9:16:0 -0.279602 -0.0580745 -0.0543905 -0.223369
1887:10:16:0 -0.0800294 -0.0890972 -0.0476953 -0.0116332
