 Hurrell Station-Based Seasonal NAO Index
       DJF   JFM   FMA   MAM   AMJ   MJJ   JJA   JAS   ASO   SON   OND   NDJ
1974   1.9   2.0   0.8  -0.0  -0.8  -0.2  -0.1   1.0   0.3   0.9   1.4   2.1
1975   1.2   0.2  -0.5  -0.6  -0.8  -1.3  -0.9   0.8   0.1   1.1  -0.1   0.7
1976   0.8   2.1   2.2   3.0   2.1   0.8  -2.1  -5.3  -2.2  -0.3  -0.2  -1.8
1977  -2.7  -1.7  -0.7  -0.2  -0.5  -0.9  -1.0  -0.6  -0.1  -0.4  -0.9  -0.1
1978  -1.6   0.5  -1.1   1.8   0.1   0.6  -1.4  -1.9  -0.8   1.8  -0.5  -2.0
1979  -3.4  -1.3  -0.5   0.1  -0.8   0.5   0.6   0.5   0.4   1.2   1.6   0.2
1980  -0.0  -0.6   0.2  -1.0  -0.8  -1.4  -1.1  -0.8  -1.0  -2.0  -1.1   0.2
1981   1.9   0.6  -0.3  -1.4  -1.6  -0.3  -0.1   0.8   0.2  -0.5  -1.2  -2.0
1982  -0.5   1.4   2.2   1.9  -1.4  -1.3  -0.8   1.2   2.0   2.4   3.2   4.0
1983   1.9   1.7  -0.1   0.7  -0.7  -0.1   0.9  -0.6   1.0  -2.1  -0.8   0.6
1984   2.9   1.7  -0.5  -1.3   0.2   0.5  -0.3  -0.3   1.3   1.2   1.6  -0.8
1985  -1.7  -2.0  -0.6   0.2  -1.3  -1.4  -0.3  -0.3  -0.6  -2.7  -2.1  -0.1
1986  -0.7   1.5   0.4   3.9   1.7   2.1  -1.2  -3.5  -0.6   3.0   4.4   0.3
1987  -1.5  -2.2  -0.3  -0.5  -1.2  -1.8  -2.3  -1.6  -0.8   0.4  -0.9  -0.4
1988  -0.2   1.1  -0.2  -0.7  -1.7   0.3   1.4   1.5  -0.2  -2.2  -1.6   0.8
1989   3.4   4.5   4.2   2.9   0.2  -0.7   0.3   0.8   1.4  -0.6  -2.3  -0.5
1990   1.9   4.4   4.5   2.5   1.6  -0.7   1.0   0.1   0.3  -0.8   0.3   0.5
1991   1.2   0.6   0.7   0.8   0.9  -0.4  -0.3  -0.1   0.2   0.7   0.8   0.2
1992   0.7   1.5   3.2   2.5   1.3   0.1   1.0   0.9  -0.1   0.6   1.3   2.9
1993   1.9   1.8   1.4   0.1  -1.1  -2.5  -0.4  -1.9  -1.9   0.1   2.5   3.7
1994   2.0   2.9   2.6   3.6   1.5   1.3   1.2  -0.2  -1.3  -0.7   0.5   1.8
1995   2.8   2.9   1.8   0.1  -2.7  -2.1  -2.1  -0.7  -0.3  -2.0  -3.9  -4.4
1996  -2.1  -1.6  -1.3  -3.2  -1.4  -0.2   1.2   0.5   1.1   1.5  -0.8  -2.8
1997  -0.8   1.3   2.4  -0.8  -3.7  -2.4  -0.9   0.4  -1.8  -1.9  -1.4  -0.7
1998  -0.2   0.2   1.0   0.6  -0.1  -0.6   0.3  -0.4   0.3   0.4   1.8   2.0
1999   2.7   2.0   1.6   0.4   0.9   0.2  -1.3  -1.3  -0.2   1.2   1.6   1.4
2000   2.6   1.9   1.3  -0.4  -1.2  -0.6  -1.4  -0.9   3.3   2.8   0.8  -1.2
2001  -1.3  -1.1  -0.6  -0.8  -0.4  -1.5  -0.6  -1.2  -0.5   0.4  -1.2  -1.1
2002  -0.5   1.6   2.5   2.5   3.5   2.9   2.1  -1.6  -3.2  -2.3  -1.7  -0.4
2003  -0.2   1.1   0.3  -0.3  -1.1   0.5  -1.0  -1.1  -1.7   0.1  -0.3   0.2
2004  -1.1   0.0   0.6   2.3   0.9  -0.4  -1.8   0.3  -0.9  -0.4   0.5   1.9
2005   1.4  -1.3  -2.0  -2.8  -1.4  -1.9  -0.1   1.4   0.3   0.1  -0.7   0.6
2006  -0.2  -0.7  -1.1  -1.1   0.2  -0.4  -0.5  -0.6  -2.1  -0.8   0.7   2.3
2007   1.4   1.9   1.6   3.4  -0.2  -0.5  -2.5  -0.6   0.5  -0.3   0.3   0.8
2008   1.4   1.7   0.1  -1.1  -3.2  -1.4   0.9   1.1   3.0   3.0   2.3   1.9
2009   1.0   1.6   2.0   3.8   1.6  -1.2  -1.9   1.0   0.0   0.7  -2.5  -2.5
2010  -5.2  -3.7  -4.2  -2.8  -2.4   0.1  -0.3  -0.2  -1.4  -1.7  -4.4  -4.3
2011  -2.1   0.6   2.2   2.1   1.9   0.7  -1.1   0.2   1.2   2.2   3.3   3.4
2012   3.2   1.9   1.5  -0.4  -2.6  -3.7  -2.8  -1.2  -2.9  -0.9  -0.8   1.1
2013   0.4  -1.6  -2.5  -2.2   2.2   2.3   1.8   0.6   0.3   0.5   2.0   3.4
2014   3.6   3.3   2.5   1.9  -0.4   0.1  -1.2  -1.4  -1.2  -0.5   2.0   3.9
2015   4.6   4.5   3.3   3.1   0.7  -0.2  -0.9  -1.4  -0.8   0.8   1.6   1.6
2016   1.8   2.0   1.7  -0.2  -1.7  -0.5   0.1   2.0   0.6   1.2   0.4   0.7
2017   0.9   0.9 -999. -999. -999. -999. -999. -999. -999. -999. -999. -999.

