SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.89213,-0.08494,0.50911,0.60697,0.04678,-0.00763,-0.28308,-0.1435,0.68827,1.50508,0.54493,0.85699,0.88821,0.93631,0.87144,0.746,0.58749,0.56917,0.382,0.20558,-0.07639,-0.26592,0.10527,0.81528,0.7506,0.78334,0.81402,0.68056,0.60363,0.48782,0.42631,0.69983,0.41101,1.07661,1.24397,1.1321,1.10964,1.16232,1.1528,1.10636,NA,NA,NA,NA,NA,NA,NA,NA
0.85925,0.37187,0.56235,0.86833,0.92454,0.53561,0.43423,0.20347,0.28591,0.92575,1.58767,0.73636,0.98397,1.00472,1.04367,0.98288,0.8659,0.72959,0.71675,0.54241,0.3782,0.10752,-0.07983,0.2501,0.93481,0.87156,0.90285,0.93321,0.80326,0.73157,0.62489,0.56525,0.82379,0.52764,1.16652,1.32783,1.21825,1.19613,1.24633,1.23602,1.19148,NA,NA,NA,NA,NA,NA,NA
-0.53492,-0.05729,-0.30328,-0.14094,0.10336,0.18151,-0.05113,-0.08843,-0.23365,-0.19181,0.34745,1.10568,0.34622,0.62746,0.66298,0.71738,0.65517,0.5501,0.42269,0.41077,0.25237,0.10609,-0.13254,-0.2953,0.03484,0.70732,0.64845,0.68581,0.71407,0.59177,0.51661,0.41509,0.36063,0.62967,0.36055,0.99429,1.15383,1.0529,1.03016,1.07545,1.0664,1.02193,NA,NA,NA,NA,NA,NA
0.61774,-0.15799,0.15302,-0.05165,0.07198,0.26871,0.32724,0.1384,0.0972,-0.02884,-0.01444,0.46615,1.14944,0.44606,0.69212,0.72545,0.77625,0.71878,0.61651,0.49269,0.48113,0.32492,0.18747,-0.04573,-0.20098,0.10258,0.75116,0.6946,0.72966,0.75741,0.63753,0.57088,0.47361,0.42147,0.68026,0.41668,1.02604,1.18795,1.09207,1.07097,1.11624,1.10827,1.06525,NA,NA,NA,NA,NA
-0.16762,0.20531,-0.30349,0.00837,-0.15509,-0.02936,0.16241,0.21811,0.03987,0.00856,-0.12253,-0.10945,0.34552,1.01648,0.36386,0.60205,0.63582,0.68548,0.62816,0.52875,0.40805,0.39603,0.2487,0.12045,-0.09223,-0.23511,0.04357,0.67027,0.61561,0.64939,0.67622,0.55984,0.49921,0.40259,0.35299,0.6053,0.34661,0.96278,1.12353,1.02518,1.00391,1.05034,1.04154,1.00027,NA,NA,NA,NA
1.18148,0.58478,0.6873,0.13319,0.3596,0.20126,0.31461,0.48646,0.52503,0.36083,0.31946,0.19777,0.18977,0.59975,1.1783,0.57246,0.78291,0.81071,0.85634,0.80275,0.7058,0.59017,0.58162,0.43529,0.31077,0.09546,-0.05357,0.21072,0.81664,0.76252,0.79321,0.82015,0.70842,0.64982,0.55854,0.50802,0.75176,0.49315,1.07723,1.22933,1.13214,1.11015,1.15356,1.14521,1.10523,NA,NA,NA
-0.26474,0.86444,0.39481,0.57261,0.04157,0.28197,0.12553,0.23828,0.41177,0.45271,0.28576,0.24219,0.12747,0.11977,0.53741,1.12887,0.51944,0.7422,0.77178,0.81889,0.76471,0.66434,0.54288,0.53316,0.38622,0.26478,0.05253,-0.09179,0.17361,0.7883,0.73325,0.76409,0.7915,0.67816,0.61845,0.52587,0.47481,0.72066,0.46139,1.0506,1.2041,1.10736,1.08533,1.1294,1.12129,1.08089,NA,NA
-1.42312,-1.2325,0.278,-0.03533,0.24922,-0.2004,0.07447,-0.07254,0.04621,0.21997,0.26318,0.0964,0.05323,-0.05838,-0.05114,0.38548,1.00416,0.39448,0.62402,0.65758,0.70584,0.64962,0.54925,0.42762,0.417,0.27046,0.15352,-0.05294,-0.18693,0.0835,0.70427,0.64908,0.67861,0.70516,0.59088,0.5318,0.43758,0.3871,0.6356,0.37702,0.97548,1.13532,1.03926,1.01644,1.06139,1.05267,1.01144,NA
0.35305,-0.61209,-0.76642,0.31623,0.01665,0.27914,-0.14364,0.12565,-0.0214,0.09639,0.26993,0.30974,0.14369,0.10159,-0.00902,-0.00246,0.42582,1.02466,0.41859,0.64664,0.68014,0.72636,0.67166,0.57187,0.44998,0.43838,0.29261,0.17754,-0.02812,-0.16415,0.10697,0.71788,0.66432,0.69265,0.71907,0.60649,0.54764,0.4541,0.40484,0.64889,0.39221,0.98141,1.14059,1.0446,1.0216,1.06624,1.05742,1.01676
-1.23518,-0.57844,-1.11103,-1.14825,-0.09512,-0.27393,0.01703,-0.34455,-0.04845,-0.18202,-0.05871,0.11497,0.16035,-0.00328,-0.04268,-0.14801,-0.12883,0.29501,0.9056,0.31934,0.55446,0.59,0.6365,0.58029,0.48163,0.36226,0.35006,0.20575,0.09602,-0.10901,-0.24328,0.03457,0.64677,0.59451,0.62281,0.64868,0.53528,0.47703,0.38401,0.3358,0.57899,0.32457,0.91844,1.0865,0.99232,0.96973,1.01577,1.0069
