SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-1.62872,-1.56337,-1.90001,-2.09385,-1.69719,-1.61305,-1.9862,-2.03958,-2.19634,-2.28629,-1.66753,-1.02104,-1.01758,-0.90725,-0.72128,-0.95565,-1.03336,-1.19685,-1.05765,-0.20152,-0.58689,0.27192,0.80129,0.48646,0.45639,0.34003,0.28738,0.42335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.52394,0.91674,0.53655,0.14542,-0.16668,0.09008,0.03802,-0.60791,-1.01175,-1.41088,-1.75651,-1.03994,-0.45237,-0.46518,-0.3521,-0.17629,-0.41345,-0.50016,-0.68316,-0.53399,0.27153,-0.13132,0.64779,1.11912,0.82642,0.79136,0.67671,0.62469,0.75412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.33999,0.07337,-0.30778,-0.50894,-0.73931,-0.9314,-0.74982,-0.79469,-1.18596,-1.38026,-1.60525,-1.8663,-1.33429,-0.84078,-0.84022,-0.74154,-0.59553,-0.78893,-0.86183,-1.0045,-0.87111,-0.155,-0.48658,0.22809,0.695,0.44037,0.40987,0.30254,0.25772,0.38286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.19903,0.0729,0.7274,0.43448,0.27971,0.08466,-0.08186,0.06829,0.01273,-0.36268,-0.67927,-0.99093,-1.30118,-0.83255,-0.40217,-0.40921,-0.3121,-0.17524,-0.3682,-0.43751,-0.5816,-0.44387,0.20974,-0.1145,0.53298,0.93452,0.70391,0.67283,0.57507,0.53151,0.6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5311,1.71735,0.78962,1.28464,1.00599,0.8634,0.68832,0.52325,0.65317,0.60134,0.21797,-0.17799,-0.54262,-0.90366,-0.43444,-0.0172,-0.03402,0.06448,0.20348,-0.00298,-0.07157,-0.21987,-0.09114,0.55858,0.22063,0.84918,1.2072,0.98645,0.9562,0.86724,0.82299,0.9263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06234,1.17461,1.45553,0.64874,1.09642,0.86054,0.73744,0.57982,0.43525,0.56255,0.51399,0.17687,-0.18057,-0.5362,-0.90393,-0.45569,-0.05784,-0.08048,0.01555,0.15473,-0.04384,-0.10696,-0.25032,-0.12652,0.51005,0.18127,0.79441,1.15477,0.94064,0.91048,0.81911,0.77545,0.87956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.81768,-0.61704,0.70312,1.24094,0.41224,0.92093,0.67962,0.55549,0.38808,0.24302,0.37374,0.32694,-0.00342,-0.3483,-0.68032,-1.03131,-0.59679,-0.19602,-0.2167,-0.12042,0.02092,-0.17407,-0.23867,-0.37966,-0.25505,0.38126,0.05839,0.68577,1.06985,0.84767,0.81745,0.72314,0.67954,0.78766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.78671,-0.28751,-0.3279,0.84224,1.34312,0.51552,0.99085,0.75627,0.6375,0.47507,0.33164,0.45867,0.41018,0.08677,-0.25801,-0.59871,-0.96873,-0.52671,-0.12359,-0.14601,-0.04972,0.0915,-0.10364,-0.16794,-0.30954,-0.18595,0.44769,0.12444,0.74036,1.10717,0.89251,0.86344,0.77157,0.72858,0.83386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.30666,1.24767,0.28381,0.04852,1.09974,1.52485,0.67614,1.12014,0.88701,0.77145,0.61394,0.47254,0.59604,0.5474,0.2328,-0.11917,-0.46912,-0.85503,-0.4115,-0.01953,-0.04215,0.05303,0.19374,-0.00097,-0.06517,-0.20676,-0.0881,0.53686,0.21473,0.81862,1.17326,0.9634,0.93512,0.84501,0.80249,0.90574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.11728,0.8487,1.01382,0.25863,0.04217,1.01252,1.49639,0.67524,1.11697,0.89269,0.78006,0.62584,0.48366,0.60278,0.5514,0.24165,-0.10418,-0.45799,-0.84054,-0.39059,-0.00268,-0.02597,0.07004,0.21283,0.01418,-0.04855,-0.19159,-0.07172,0.5593,0.232,0.83768,1.19114,0.98547,0.95961,0.86925,0.82661,0.92927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
