SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-1.23267,0.01555,0.55655,0.59123,0.13905,-0.02711,-0.64851,-0.62766,0.63001,1.70271,0.6776,1.16765,1.1323,1.30794,1.27322,1.16194,0.99844,0.98037,0.70964,0.41681,0.14525,0.31661,0.29605,0.79095,0.6329,0.74826,0.77971,0.6279,0.52259,0.40412,0.29986,0.88176,0.59192,1.00998,0.85429,0.8521,0.753,0.80874,0.7679,0.75894,NA,NA,NA,NA,NA,NA,NA,NA
0.43791,-0.23165,0.30683,0.64797,0.68431,0.34895,0.21738,-0.321,-0.3538,0.68472,1.63803,0.72975,1.16489,1.13661,1.2914,1.25648,1.15134,1.00931,1.00125,0.75858,0.49256,0.23335,0.38098,0.35585,0.82312,0.66898,0.78229,0.81525,0.66962,0.57766,0.46198,0.36882,0.91789,0.63428,1.03601,0.88488,0.87277,0.77418,0.82999,0.78886,0.78068,NA,NA,NA,NA,NA,NA,NA
-0.14752,0.06267,-0.35548,-0.00601,0.31175,0.37503,0.09363,-0.00983,-0.39477,-0.44933,0.41295,1.40062,0.54429,0.97683,0.97874,1.14996,1.11246,1.01306,0.87013,0.85938,0.62112,0.36865,0.1327,0.2758,0.26272,0.73467,0.57909,0.69702,0.72588,0.5876,0.4851,0.37398,0.28972,0.84444,0.56101,0.96005,0.80237,0.79246,0.702,0.75832,0.71729,0.71073,NA,NA,NA,NA,NA,NA
0.97941,0.47838,0.55812,0.26185,0.50482,0.70668,0.73959,0.53349,0.44695,0.13414,-0.00296,0.723,1.4985,0.79024,1.13088,1.12568,1.27052,1.23878,1.15069,1.03356,1.0293,0.82635,0.61492,0.39759,0.51373,0.49943,0.9154,0.77185,0.86956,0.89604,0.77054,0.69456,0.59585,0.52338,1.00049,0.75811,1.10687,0.9587,0.95253,0.86994,0.92193,0.88898,0.88055,NA,NA,NA,NA,NA
-0.49522,0.41165,0.11451,0.23013,-0.02468,0.20546,0.40718,0.44634,0.2514,0.1773,-0.14772,-0.2457,0.46536,1.3045,0.57795,0.93594,0.94774,1.09972,1.06827,0.98481,0.85995,0.85651,0.65395,0.43795,0.21961,0.34712,0.34163,0.76985,0.62466,0.72894,0.75396,0.62743,0.56129,0.4623,0.39025,0.87916,0.63709,0.99717,0.84363,0.83578,0.75047,0.8045,0.76821,0.76083,NA,NA,NA,NA
1.06573,0.30714,0.84107,0.52734,0.59577,0.35271,0.54566,0.73007,0.75837,0.60216,0.52578,0.22654,0.10313,0.75877,1.46131,0.81934,1.14402,1.13875,1.27557,1.25003,1.17102,1.05239,1.04863,0.85695,0.65951,0.43835,0.54634,0.54093,0.94433,0.80031,0.89454,0.92222,0.80215,0.73846,0.64818,0.58096,1.04645,0.81377,1.13941,0.99179,0.97993,0.89788,0.94812,0.91257,0.90424,NA,NA,NA
0.22729,0.87929,0.23468,0.79638,0.49809,0.57972,0.33155,0.53212,0.71786,0.74896,0.59479,0.51868,0.22019,0.09763,0.76173,1.46593,0.82518,1.15456,1.15018,1.2859,1.26138,1.18294,1.0615,1.05653,0.86628,0.66211,0.44097,0.55564,0.55192,0.95696,0.81135,0.90433,0.93342,0.8138,0.74855,0.65577,0.58554,1.05396,0.81405,1.13842,0.98771,0.97699,0.89399,0.9447,0.90904,0.90051,NA,NA
-1.47883,-0.73108,0.3947,-0.15167,0.51811,0.26463,0.37313,0.12566,0.34011,0.53078,0.56788,0.4073,0.33096,0.03142,-0.08043,0.5985,1.3466,0.68494,1.03417,1.04115,1.18505,1.15715,1.07685,0.94609,0.94172,0.7448,0.53572,0.31117,0.43661,0.44077,0.85851,0.71366,0.81039,0.83727,0.71418,0.64748,0.55092,0.47944,0.966,0.71367,1.0547,0.8984,0.88363,0.80049,0.85209,0.81381,0.80463,NA
-0.27108,-1.14175,-0.81811,0.23152,-0.24375,0.42987,0.21099,0.32803,0.08003,0.30343,0.49776,0.53917,0.37287,0.29205,-0.01268,-0.12427,0.56852,1.33151,0.64143,1.00788,1.01561,1.16376,1.13366,1.05032,0.91375,0.90961,0.70677,0.49196,0.26763,0.39731,0.40696,0.83477,0.68979,0.78851,0.81502,0.69011,0.62076,0.52143,0.45019,0.94332,0.69031,1.03989,0.88226,0.86745,0.78247,0.83515,0.79596,0.78733
-1.51075,-1.2278,-1.71569,-1.36611,-0.24909,-0.58186,0.10519,-0.05892,0.08181,-0.14473,0.09379,0.29698,0.34486,0.16936,0.08999,-0.22293,-0.31277,0.37924,1.19488,0.49706,0.88553,0.90315,1.05838,1.0251,0.94208,0.79586,0.7933,0.5841,0.3644,0.13449,0.27613,0.28749,0.74269,0.59419,0.69963,0.72621,0.59171,0.51833,0.41123,0.33591,0.85528,0.58821,0.96867,0.80687,0.79359,0.70532,0.76313,0.72111
-0.88596,-1.66918,-1.44894,-1.92284,-1.58585,-0.44116,-0.74102,-0.03495,-0.18012,-0.03273,-0.26142,-0.01161,0.19353,0.23855,0.05837,-0.0205,-0.32941,-0.41155,0.28604,1.12834,0.41699,0.81288,0.83718,0.99631,0.96076,0.87662,0.72682,0.7254,0.51133,0.29333,0.06398,0.20529,0.21872,0.68323,0.53367,0.64189,0.66843,0.53013,0.45602,0.34682,0.27166,0.80506,0.53205,0.92765,0.76035,0.74792,0.65846,0.71741
-1.26689,-1.44653,-2.0047,-1.83053,-2.40134,-2.05835,-0.80587,-1.01235,-0.31544,-0.44281,-0.28179,-0.49326,-0.24213,-0.04393,0.00731,-0.16838,-0.24282,-0.53236,-0.59137,0.09912,0.96507,0.24732,0.65739,0.691,0.85622,0.81795,0.73362,0.58581,0.586,0.37054,0.16155,-0.06335,0.08093,0.08958,0.57122,0.42055,0.53057,0.55537,0.41118,0.33757,0.22775,0.15236,0.69488,0.41796,0.83228,0.65549,0.64806,0.55754
-0.33151,-1.07658,-1.27699,-1.72146,-1.61561,-1.97337,-1.9002,-0.95021,-1.12377,-0.47447,-0.57046,-0.42675,-0.61892,-0.37667,-0.18077,-0.1214,-0.29245,-0.36293,-0.64078,-0.68352,0.01748,0.87264,0.1646,0.57845,0.61843,0.78191,0.74022,0.65749,0.50911,0.51236,0.29868,0.10261,-0.11033,0.03606,0.03831,0.5246,0.37533,0.48385,0.50554,0.36246,0.28897,0.17746,0.10244,0.63573,0.36414,0.77487,0.60128,0.59552
1.28153,0.97477,0.59296,0.36459,-0.13769,-0.26612,-0.64253,-0.61642,-0.01205,-0.31932,0.17865,0.05102,0.12437,-0.05475,0.1453,0.3143,0.34881,0.20853,0.14295,-0.12013,-0.18724,0.43261,1.14539,0.52222,0.8757,0.89482,1.03856,1.00789,0.93247,0.80825,0.80827,0.62331,0.4322,0.21927,0.34806,0.35506,0.77427,0.6321,0.72954,0.74968,0.62045,0.55602,0.45561,0.39283,0.87248,0.62307,0.98676,0.82189
0.34041,1.0851,0.86791,0.5738,0.44238,0.1096,-0.01262,-0.30177,-0.2758,0.11518,-0.21115,0.2444,0.13433,0.19799,0.01935,0.20781,0.36976,0.41062,0.28309,0.2209,-0.01923,-0.08818,0.49281,1.16389,0.58074,0.91878,0.92872,1.06753,1.03755,0.96973,0.84386,0.84918,0.67974,0.50889,0.30042,0.4094,0.40458,0.81156,0.68063,0.77375,0.79563,0.67,0.61016,0.51172,0.43369,0.90166,0.65372,1.00743
0.53028,0.46605,0.99454,0.84983,0.64554,0.54101,0.28509,0.18033,-0.05198,-0.05121,0.21924,-0.04494,0.35378,0.2404,0.29503,0.13349,0.28925,0.43113,0.46686,0.35826,0.30782,0.09986,0.04456,0.56,1.17152,0.63677,0.95545,0.96147,1.085,1.05723,0.99063,0.8876,0.88954,0.73732,0.58072,0.39198,0.49751,0.48403,0.86058,0.73836,0.82741,0.84971,0.73177,0.683,0.58604,0.51667,0.94411,0.71708
-0.01457,0.2434,0.29762,0.82661,0.71,0.49866,0.39801,0.15948,0.0732,-0.1337,-0.16434,0.10504,-0.1426,0.24588,0.16149,0.22253,0.07415,0.22139,0.35527,0.38895,0.28002,0.23088,0.03251,-0.02557,0.47791,1.09309,0.56456,0.88554,0.89021,1.0171,0.98817,0.92364,0.83085,0.83448,0.68522,0.529,0.34967,0.45778,0.43927,0.80985,0.68635,0.77549,0.79597,0.67932,0.62552,0.53003,0.45628,0.87802
-0.1233,-0.2513,0.12191,0.18685,0.72348,0.61564,0.41221,0.32062,0.08933,0.01856,-0.19308,-0.21727,0.04878,-0.18413,0.18862,0.09901,0.16609,0.01864,0.16585,0.2983,0.3342,0.21817,0.16685,-0.0299,-0.08051,0.42369,1.05514,0.51665,0.84756,0.85299,0.98119,0.95291,0.88851,0.79285,0.79893,0.64865,0.49041,0.30335,0.42562,0.40059,0.77003,0.64501,0.7366,0.75377,0.63578,0.58195,0.4842,0.40975
0.19234,-0.15025,-0.296,0.07322,0.14831,0.70365,0.59307,0.38914,0.29333,0.06556,0.00006,-0.21018,-0.23425,0.03567,-0.19617,0.18167,0.09632,0.16707,0.01995,0.16816,0.30382,0.33763,0.21612,0.16501,-0.03271,-0.08848,0.42169,1.06224,0.52325,0.85597,0.86096,0.98829,0.96098,0.89723,0.79979,0.80421,0.65021,0.48684,0.29252,0.41112,0.38889,0.76179,0.63531,0.72779,0.74539,0.62622,0.57203,0.47244
-0.68151,-0.3265,-0.40376,-0.48768,-0.10344,0.02481,0.59785,0.48946,0.28775,0.18927,-0.03956,-0.103,-0.31215,-0.33028,-0.05191,-0.27676,0.10181,0.0163,0.09073,-0.05832,0.09405,0.23013,0.26478,0.13915,0.08816,-0.11215,-0.16396,0.35391,1.00957,0.46798,0.80351,0.8127,0.94217,0.91193,0.84766,0.7491,0.75325,0.59797,0.4336,0.23466,0.35903,0.33403,0.70656,0.58101,0.67334,0.68991,0.56885,0.51291
