"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"NA","Data for this day has undergone only preliminary quality checking"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (degC)","Max Temp Flag","Min Temp (degC)","Min Temp Flag","Mean Temp (degC)","Mean Temp Flag","Heat Deg Days (degC)","Heat Deg Days Flag","Cool Deg Days (degC)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-03-06","2009","03","06","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-07","2009","03","07","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-08","2009","03","08","NA","","","","","","","","","","","0.0","","0.1","","0.1","","9","","","","",""
"2009-03-09","2009","03","09","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-10","2009","03","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-11","2009","03","11","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-12","2009","03","12","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-13","2009","03","13","NA","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"2009-03-14","2009","03","14","NA","","","","","","","","","","","0.0","","0.0","","0.0","","50","","","","",""
"2009-03-15","2009","03","15","NA","","","","","","","","","","","0.0","","0.0","","0.0","","50","","","","",""
"2009-03-16","2009","03","16","NA","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"2009-03-17","2009","03","17","NA","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"2009-03-18","2009","03","18","NA","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
